task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
trafficfore,151.5,74,74.0,111.69147491455078,280.4903650283813,121.23625342910354
trafficfore,152.5,52,52.0,94.3528413772583,192.91701316833496,107.6958362872784
trafficfore,153.5,71,71.0,122.55477905273438,265.72084426879877,126.29329318731604
trafficfore,154.5,57,57.0,88.90438079833984,159.3934631347656,91.31503105163574
trafficfore,155.5,56,56.0,68.2600736618042,110.42842864990236,72.7673385824476
trafficfore,156.5,62,62.0,92.37754344940186,156.13795518875122,93.68654220334945
trafficfore,157.5,68,68.0,161.18299961090088,562.6174139976501,227.2060793988845
trafficfore,158.5,78,78.0,303.21013927459717,640.269205570221,281.3753867760683
trafficfore,159.5,61,61.0,81.93182945251465,307.24735260009766,130.2720757781482
trafficfore,160.5,70,70.0,99.13253784179688,185.74878931045535,100.3218582698277
trafficfore,161.5,72,72.0,114.25244808197021,192.35070228576672,111.99128958914015
trafficfore,162.5,65,65.0,130.76019287109375,376.7978572845459,148.90983288104718
trafficfore,163.5,93,93.0,235.6662750244141,601.1901569366455,278.9485582741358
trafficfore,164.5,79,79.0,217.85306930541992,506.3288688659668,227.96788094918938
trafficfore,165.5,71,71.0,115.6785488128662,432.96065330505365,147.47040036698462
trafficfore,166.5,63,63.0,84.31577682495117,165.1828765869141,88.54040266975524
trafficfore,167.5,66,66.0,102.98395156860352,226.2918949127196,113.95324360240589
