req_id,req_time,site_manager,device,backbone,task,latency
4166,64.83088258090636,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.543346405029297
4167,64.83459449751314,site2,http://10.100.20.53:8001,chronostiny,diasbp,23.740768432617188
4168,64.83627881196884,site2,http://10.100.20.53:8001,chronostiny,heartrate,23.66805076599121
4169,64.84353753896653,site2,http://10.100.20.53:8001,chronostiny,ecgclass,28.000831604003906
4170,64.84353753896653,site2,http://10.100.20.53:8001,chronostiny,diasbp,27.809858322143555
4171,64.86533500331284,site2,http://10.100.20.53:8001,chronostiny,heartrate,16.312837600708008
4172,64.87542394849947,site2,http://10.100.20.53:8001,chronostiny,heartrate,15.09857177734375
4173,64.90480932349473,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.4378509521484375
4174,64.95241606571682,site2,http://10.100.20.53:8001,chronostiny,heartrate,10.258913040161133
4175,64.97552873251514,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.490541458129883
4176,65.00286696981857,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.878448486328125
4177,65.02730532031303,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.452985763549805
4178,65.03551839003816,site2,http://10.100.20.53:8001,chronostiny,ecgclass,8.112192153930664
4179,65.07984695198914,site2,http://10.100.20.53:8001,chronostiny,diasbp,14.403343200683594
4180,65.07984695198914,site2,http://10.100.20.53:8001,chronostiny,ecgclass,13.840436935424805
4181,65.0873254647755,site2,http://10.100.20.53:8001,chronostiny,ecgclass,15.67983627319336
4182,65.08953890335557,site2,http://10.100.20.53:8001,chronostiny,ecgclass,13.95559310913086
4183,65.10502014704308,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.230426788330078
4184,65.11196046483242,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.48643684387207
4185,65.13419143873827,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.613441467285156
4186,65.16198776540367,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.465507507324219
4187,65.16744100457869,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.571075439453125
4188,65.1704098132962,site2,http://10.100.20.53:8001,chronostiny,ecgclass,19.208192825317383
4189,65.17150058945612,site2,http://10.100.20.53:8001,chronostiny,diasbp,18.96047592163086
