task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,4.5452,4.5703,25.0635,25.0635,22.524,21.5066,0.002,1.5371,2.5395,1775531106110840987,0
ecgclass,2,1,4.5703,4.5953,25.0571,25.0571,22.5408,21.544,0.002,1.4987,2.5163,1775531106135881898,0
ecgclass,2,1,4.5954,4.6205,25.1575,25.1575,22.5763,21.5763,0.002,1.5483,2.5812,1775531106161004535,0
ecgclass,2,1,4.6205,4.6456,25.0785,25.0785,22.4717,21.4774,0.002,1.5695,2.6068,1775531106186198723,0
ecgclass,2,1,4.6456,4.6717,26.0367,26.0367,23.455,22.4589,0.0018,1.5368,2.5817,1775531106211260627,0
ecgclass,2,1,4.6717,4.6968,25.1496,25.1496,22.6037,21.5682,0.002,1.5061,2.5459,1775531106237281954,0
ecgclass,2,1,4.6969,4.7225,25.605,25.605,23.0367,21.4859,0.0021,1.5366,2.5682,1775531106262501170,0
ecgclass,2,1,4.7225,4.7477,25.1801,25.1801,22.616,21.6193,0.0019,1.5152,2.5641,1775531106288100669,0
ecgclass,2,1,4.7477,4.7728,25.1174,25.1174,22.5628,21.5566,0.0018,1.5094,2.5546,1775531106313290904,0
ecgclass,2,1,4.7728,4.7978,25.0106,25.0106,22.4857,21.4796,0.002,1.5574,2.5248,1775531106338472571,0
ecgclass,2,1,4.7978,4.8229,25.0626,25.0626,22.5261,21.5236,0.0019,1.507,2.5364,1775531106363448670,0
ecgclass,2,1,4.8229,4.848,25.0943,25.0943,22.535,21.534,0.002,1.5361,2.5593,1775531106388555947,0
ecgclass,2,1,4.848,4.8731,25.0933,25.0933,22.5132,21.5053,0.002,1.5473,2.5801,1775531106413677206,0
ecgclass,2,1,4.8731,4.8982,25.0974,25.0974,22.5217,21.5094,0.0022,1.5504,2.5757,1775531106438790810,0
ecgclass,2,1,4.8983,4.9234,25.0964,25.0964,22.5558,21.5525,0.0019,1.5233,2.5406,1775531106463876514,0
ecgclass,2,1,4.9234,4.9484,25.0256,25.0256,22.4973,21.4938,0.0021,1.5104,2.5283,1775531106488975839,0
ecgclass,2,1,4.9484,4.9742,25.8162,25.8162,23.2359,21.5607,0.0021,1.55,2.5803,1775531106514056673,0
