req_id,send_time_rel
15421,38.496691
15422,38.500075
15423,38.500801
15424,38.502769
15425,38.505174
15426,38.507159
15427,38.517284
15428,38.520448
15429,38.529373
15430,38.531057
15431,38.531173
15432,38.532426
15433,38.534249
15434,38.54148
15435,38.544239
15436,38.545987
15437,38.549918
15438,38.550783
15439,38.551897
15440,38.55239
15441,38.553362
15442,38.553857
15443,38.555013
15444,38.556375
15445,38.559977
15446,38.568665
15447,38.570086
15448,38.576007
15449,38.582821
15450,38.583114
15451,38.588806
15452,38.588915
15453,38.5899
15454,38.59162
15455,38.591649
15456,38.594404
15457,38.595305
15458,38.597139
15459,38.599079
15460,38.59958
15461,38.600919
15462,38.601653
15463,38.610908
15464,38.611904
15465,38.613147
15466,38.61571
15467,38.617455
15468,38.621016
15469,38.622009
15470,38.62884
15471,38.633346
15472,38.637242
15473,38.640369
15474,38.641604
15475,38.641875
15476,38.642017
15477,38.643775
15478,38.645521
15479,38.647356
15480,38.651747
15481,38.655055
15482,38.655749
15483,38.658962
15484,38.661511
15485,38.662873
15486,38.664235
15487,38.665647
15488,38.665657
15489,38.66883
15490,38.674084
15491,38.674826
15492,38.679794
15493,38.681239
15494,38.695402
15495,38.69704
15496,38.707146
15497,38.711763
15498,38.712167
15499,38.713675
15500,38.716231
15501,38.723621
15502,38.72461
15503,38.726103
15504,38.729208
15505,38.729364
15506,38.734866
15507,38.736651
15508,38.736855
15509,38.737462
15510,38.744358
15511,38.745104
15512,38.747557
15513,38.748237
15514,38.750713
15515,38.752086
15516,38.753983
15517,38.758537
15518,38.765239
15519,38.76621
15520,38.766321
15521,38.770578
15522,38.77857
15523,38.780804
15524,38.781899
15525,38.785281
15526,38.78798
15527,38.788341
15528,38.789498
15529,38.792246
15530,38.795844
15531,38.80014
15532,38.801353
15533,38.805197
15534,38.808943
15535,38.809134
15536,38.809161
15537,38.810575
15538,38.813401
15539,38.814429
15540,38.81591
15541,38.817591
15542,38.817701
15543,38.820404
15544,38.822055
15545,38.822593
15546,38.823795
15547,38.839027
15548,38.846036
15549,38.853328
15550,38.855694
15551,38.856909
15552,38.85793
15553,38.857959
15554,38.862527
15555,38.862774
15556,38.864293
15557,38.870217
15558,38.871863
15559,38.871907
15560,38.877222
15561,38.877506
15562,38.880151
15563,38.880704
15564,38.882069
15565,38.883008
15566,38.884596
15567,38.885026
15568,38.886121
15569,38.88805
15570,38.88922
15571,38.889683
15572,38.894946
15573,38.901405
15574,38.90822
15575,38.908868
15576,38.910426
15577,38.916609
15578,38.929731
15579,38.930014
15580,38.932537
15581,38.932961
15582,38.935604
15583,38.93684
15584,38.943506
15585,38.943707
15586,38.944707
15587,38.946808
15588,38.947917
15589,38.949585
15590,38.950093
15591,38.954328
15592,38.958848
15593,38.959023
15594,38.961846
15595,38.96363
15596,38.96506
15597,38.968181
15598,38.974196
15599,38.976497
15600,38.976805
15601,38.976959
15602,38.979351
15603,38.981275
15604,38.982182
15605,38.982873
15606,38.984187
15607,38.984571
15608,38.985746
15609,38.986387
15610,38.986898
15611,38.987871
15612,38.988186
15613,38.996399
15614,38.997063
15615,38.999096
15616,39.007942
15617,39.009216
15618,39.019152
15619,39.027837
15620,39.031727
15621,39.031801
15622,39.032695
15623,39.036789
15624,39.037722
15625,39.038018
15626,39.038286
15627,39.039709
15628,39.041404
15629,39.042453
15630,39.045793
15631,39.051526
15632,39.052182
15633,39.054196
15634,39.05453
15635,39.062695
15636,39.066823
15637,39.07159
15638,39.077311
15639,39.078365
15640,39.080229
15641,39.087144
15642,39.091571
15643,39.096652
15644,39.097221
15645,39.097361
15646,39.097778
15647,39.098262
15648,39.101495
15649,39.107216
15650,39.108507
15651,39.109962
15652,39.110062
15653,39.11395
15654,39.119603
15655,39.123478
15656,39.125654
15657,39.126352
15658,39.129363
15659,39.130131
15660,39.130797
15661,39.13216
15662,39.133997
15663,39.135333
15664,39.136284
15665,39.140012
15666,39.141118
15667,39.146686
15668,39.1474
15669,39.150236
15670,39.150236
15671,39.153133
15672,39.155295
15673,39.157813
15674,39.157819
15675,39.15865
