run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
1,152,29.8278,29.3002,0.2903,0.0025,339.95
1,153,29.1052,28.5657,0.2965,0.0023,339.95
1,154,30.0603,29.1785,0.2771,0.0027,339.95
1,155,29.3634,28.8393,0.2977,0.0026,339.95
1,156,29.5702,29.0488,0.2832,0.0023,339.95
1,157,29.9683,29.455,0.2783,0.0024,339.95
1,158,29.394,28.8491,0.3104,0.0025,339.95
1,159,29.8759,29.3701,0.277,0.0025,339.95
1,160,29.1861,28.663,0.2888,0.0025,339.95
1,161,29.7059,29.1695,0.2948,0.0028,339.95
1,162,29.4245,28.9198,0.2847,0.0026,339.95
1,163,29.5644,29.0003,0.3283,0.0028,339.95
1,164,30.3269,29.4285,0.663,0.0023,339.95
1,165,29.3485,28.8547,0.2761,0.0024,339.95
1,166,29.7047,29.1565,0.3093,0.0025,339.95
1,167,28.9965,28.4858,0.2832,0.0025,339.95
1,168,29.3503,28.8178,0.2924,0.0027,339.95
1,169,29.7263,29.1952,0.2976,0.0025,339.95
1,170,29.2782,28.7598,0.2902,0.0025,339.95
1,171,29.8678,29.318,0.3076,0.0031,339.95
1,172,29.2519,28.7207,0.2851,0.0022,339.95
1,173,29.6761,29.1589,0.2861,0.0026,339.95
1,174,29.3678,28.8086,0.3044,0.0029,339.95
1,175,29.4333,28.941,0.2682,0.003,339.95
1,176,29.6205,29.0952,0.2961,0.0027,339.95
1,177,29.3265,28.8009,0.289,0.0022,339.95
1,178,29.7473,29.2342,0.2875,0.0029,339.95
1,179,29.109,28.5846,0.2917,0.0023,339.95
1,180,29.6377,29.1214,0.2867,0.0025,339.95
1,181,29.103,28.6066,0.2747,0.003,339.95
1,182,29.4086,28.8674,0.3122,0.0025,339.95
1,183,29.6254,29.1178,0.2758,0.0028,339.95
1,184,29.4305,28.9105,0.2875,0.0028,339.95
1,185,30.1918,29.31,0.2905,0.0022,339.95
1,186,29.456,28.6621,0.45,0.0078,339.95
1,187,29.6339,29.0871,0.2982,0.0034,339.95
1,188,29.6963,29.1723,0.2784,0.0021,339.95
1,189,29.46,28.9595,0.2787,0.0026,339.95
1,190,29.8639,29.3276,0.2986,0.0028,339.95
1,191,29.2414,28.7206,0.2838,0.0023,339.95
1,192,29.6837,29.1389,0.2963,0.003,339.95
1,193,29.1817,28.642,0.3009,0.0026,339.95
1,194,29.4632,28.9447,0.2854,0.0023,339.95
1,195,29.7187,28.8247,0.6639,0.0027,339.95
1,196,29.2919,28.7916,0.2728,0.0021,339.95
1,197,29.7046,29.1934,0.2877,0.0023,339.95
1,198,29.2077,28.6443,0.3146,0.0027,339.95
1,199,29.6699,29.1624,0.2776,0.0023,339.95
2,0,189.8897,178.8337,4.2797,0.0035,339.95
2,1,34.5642,27.1273,0.4119,0.0027,339.95
2,2,28.4291,27.9191,0.2944,0.0024,339.95
2,3,28.1803,27.6604,0.2924,0.0023,339.95
2,4,29.2492,28.7089,0.2928,0.0026,339.95
