task,t_center,arrival_rps,served_rps,arr_count,srv_count
trafficfore,94.5,42.0,41.0,42.0,41.0
trafficfore,95.5,48.0,47.0,48.0,47.0
trafficfore,96.5,61.0,51.0,61.0,51.0
trafficfore,97.5,39.0,55.0,39.0,55.0
trafficfore,98.5,49.0,45.0,49.0,45.0
trafficfore,99.5,70.0,56.0,70.0,56.0
trafficfore,100.5,45.0,57.0,45.0,57.0
trafficfore,101.5,47.0,49.0,47.0,49.0
trafficfore,102.5,47.0,47.0,47.0,47.0
trafficfore,103.5,42.0,41.0,42.0,41.0
trafficfore,104.5,53.0,54.0,53.0,54.0
trafficfore,105.5,48.0,41.0,48.0,41.0
trafficfore,106.5,64.0,67.0,64.0,67.0
trafficfore,107.5,49.0,46.0,49.0,46.0
trafficfore,108.5,49.0,56.0,49.0,56.0
trafficfore,109.5,49.0,50.0,49.0,50.0
trafficfore,110.5,56.0,46.0,56.0,46.0
trafficfore,111.5,48.0,58.0,48.0,58.0
trafficfore,112.5,47.0,41.0,47.0,41.0
trafficfore,113.5,54.0,58.0,54.0,58.0
trafficfore,114.5,51.0,54.0,51.0,54.0
trafficfore,115.5,53.0,50.0,53.0,50.0
trafficfore,116.5,51.0,51.0,51.0,51.0
trafficfore,117.5,56.0,51.0,56.0,51.0
trafficfore,118.5,47.0,46.0,47.0,46.0
trafficfore,119.5,53.0,49.0,53.0,49.0
trafficfore,120.5,0.0,16.0,0.0,16.0
