batch_start_ns,observed_batch_size,send_time_rel_first
1775274797645614215,6,30.372826
1775274797695685909,6,30.425497
1775274797746589847,6,30.447246
1775274797794131417,6,30.485454
1775274797833135578,3,30.51216
1775274797883154580,5,30.518279
1775274797932299957,6,30.537277
1775274797980357353,35,30.585976
1775274798066510102,12,30.722157
1775274798125845047,6,30.791305
1775274798176792266,6,30.812808
1775274798221368089,6,30.842769
1775274798257691772,4,30.860853
1775274798300255776,5,30.883349
1775274798352726770,5,30.916725
1775274798408369497,8,30.923851
1775274798458215835,6,30.955117
1775274798517111327,7,30.972309
1775274798562379300,6,31.02756
1775274798609742845,6,31.058589
1775274798662570950,5,31.079998
1775274798719610068,7,31.112718
1775274798770034812,7,31.160743
1775274798814021518,5,31.201772
1775274798859853278,4,31.238309
1775274798902885627,6,31.257951
1775274798945380729,4,31.276355
1775274799003807747,6,31.28755
1775274799046535187,6,31.311887
1775274799089653197,5,31.321582
1775274799129702479,4,31.361307
1775274799174373305,4,31.376526
1775274799215857708,7,31.399812
1775274799259929826,4,31.43425
1775274799309706302,6,31.468886
1775274799352157153,5,31.489713
1775274799400937839,7,31.522892
1775274799450418326,7,31.549292
1775274799491542288,6,31.586507
1775274799528718275,3,31.619337
1775274799571529347,5,31.647278
1775274799624456955,6,31.657794
1775274799667150063,4,31.67414
1775274799700326863,5,31.699371
1775274799743369492,8,31.714123
1775274799801262374,7,31.742582
1775274799852963976,6,31.767659
1775274799902885866,7,31.815519
1775274799951673312,4,31.846313
1775274800004504247,5,31.877477
1775274800060268648,8,31.902519
1775274800103170422,6,31.9558
1775274800144818270,3,31.978247
1775274800186580071,5,31.98557
1775274800237777818,6,32.000375
1775274800285440651,6,32.013196
1775274800333620450,8,32.044644
1775274800380956914,5,32.086517
1775274800430932075,6,32.092752
1775274800475058885,5,32.124085
1775274800519871096,6,32.161596
1775274800563222793,6,32.18225
1775274800606869790,5,32.218233
1775274800653752170,6,32.23463
1775274800703656460,5,32.273615
1775274800747763439,6,32.295043
1775274800796548226,5,32.313236
1775274800845721574,6,32.329845
1775274800893746818,6,32.350439
1775274800942043940,6,32.381258
1775274800984959175,5,32.406936
1775274801029594540,6,32.425648
1775274801080317713,6,32.442315
1775274801140377639,6,32.462507
1775274801186411505,6,32.49414
1775274801233241064,6,32.525062
1775274801282259827,5,32.554241
1775274801330475007,6,32.616786
1775274801372701722,5,32.644414
1775274801422699894,6,32.675035
1775274801465372681,6,32.699814
1775274801516716673,6,32.727737
1775274801567958691,7,32.788199
1775274801609126415,4,32.813401
1775274801654654896,4,32.845526
1775274801702450873,6,32.853666
1775274801742908556,6,32.895483
1775274801794720341,7,32.921591
1775274801837444340,6,32.957641
1775274801890110920,6,32.998262
1775274801939048931,7,33.038569
1775274801979703880,6,33.070173
1775274802021676667,5,33.09807
1775274802083252598,7,33.127591
1775274802124456263,6,33.174663
1775274802167765079,6,33.215512
1775274802210444647,6,33.238452
1775274802261205731,6,33.27302
1775274802311893293,6,33.293113
1775274802353101618,5,33.305969
1775274802391861451,5,33.335765
1775274802445346935,7,33.358183
1775274802495527232,6,33.376201
1775274802544568036,5,33.409775
1775274802588437349,5,33.45786
1775274802635659830,6,33.475486
1775274802688222216,35,33.493549
1775274802775193539,12,33.729146
1775274802829457146,6,33.772659
1775274802874457612,6,33.823484
1775274802918034916,5,33.88156
1775274802971711345,6,33.892809
1775274803008169611,5,33.90955
1775274803057186615,4,33.966346
1775274803098283937,6,33.988645
1775274803142985733,5,34.039781
1775274803189135253,5,34.081658
1775274803231345947,6,34.094058
1775274803280797523,6,34.121184
1775274803323676577,5,34.153399
1775274803381517418,7,34.175702
1775274803417247052,5,34.202868
1775274803464343780,4,34.222998
1775274803505041450,7,34.238165
1775274803553206408,6,34.279908
1775274803600257103,6,34.288972
1775274803635647918,5,34.30483
1775274803676684628,3,34.335119
1775274803722254331,7,34.343888
1775274803764545817,5,34.378297
1775274803815121296,6,34.398257
1775274803855257010,6,34.417006
1775274803891116368,2,34.447485
1775274803935249558,4,34.456268
1775274803982798859,6,34.483522
1775274804027708190,6,34.522149
1775274804074501511,6,34.54995
1775274804110287196,5,34.591092
1775274804153303302,4,34.628021
1775274804194458731,6,34.652692
1775274804244179625,5,34.696127
1775274804285464028,6,34.740791
1775274804330950086,3,34.788329
1775274804380345602,6,34.799258
1775274804430132497,7,34.83393
1775274804474338053,6,34.873517
1775274804520493858,6,34.901651
1775274804570026057,6,34.939694
1775274804618069369,6,34.970805
1775274804667529246,8,35.003881
1775274804715196399,7,35.045784
1775274804760231715,6,35.068832
1775274804808365509,6,35.086793
1775274804857541480,5,35.112652
1775274804903842608,5,35.131883
1775274804950988347,4,35.14337
1775274805012940637,6,35.176812
1775274805061638235,6,35.187464
1775274805110727603,6,35.221192
1775274805154376455,6,35.23931
1775274805205117544,6,35.28477
1775274805247182797,6,35.317781
1775274805297657939,6,35.362352
1775274805339782163,6,35.393583
1775274805382217035,6,35.448173
1775274805436186665,7,35.473917
1775274805478991946,6,35.529469
1775274805522221837,4,35.562174
1775274805570366042,5,35.580864
1775274805619812969,6,35.643884
1775274805661706877,6,35.65816
1775274805708266202,6,35.705409
1775274805754873077,8,35.723203
1775274805808550790,7,35.763928
1775274805860708665,6,35.814972
1775274805908250004,6,35.847538
1775274805945805184,5,35.869178
1775274805992126703,5,35.903784
1775274806050208806,7,35.922466
1775274806100444982,6,35.944519
1775274806145037298,5,35.967376
1775274806194636669,6,36.000177
1775274806244312962,6,36.02131
1775274806302481977,7,36.068443
1775274806343538584,6,36.125392
1775274806398626892,6,36.157289
1775274806448756936,6,36.173863
1775274806490126431,6,36.202156
1775274806540321767,5,36.231448
1775274806580050740,5,36.271638
1775274806627678162,5,36.288024
