backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
momentlarge,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.9274148520379676,1461.95456,0.5294080000001031,337707.875,1741.690368,81261.82,45.846878520341505,16.683007857063103,2.849284477945282
momentsmall,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.8833054159687326,151.835648,0.2672640000000115,33554.640625,274.288128,7008.271,12.543751790894936,11.775999857063084,0.021929089893914015
momentbase,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.8858179787828029,455.474688,0.39833599999997205,106982.1484375,667.91936,24062.664,21.293675331081644,14.526975857063121,0.9144550530429928
chronostiny,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.7361809045226131,16.789504,0.13619199999999765,55011.08203125,489.083392,8237.932,9.702743705859202,24.855039857063094,0.019839475153545505
chronosmini,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.7777777777777778,40.918016,0.2017279999999957,98981.1796875,957.553152,17298.796,9.940865954229247,37.4405118570631,0.021451144611948633
chronossmall,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.7783361250697934,92.30848,0.2672639999999973,206396.03125,1021.747712,34843.198,11.635541963018165,36.95001585706309,0.0063528754885538805
chronosbase,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.7883863763260748,420.18304,0.39833599999997205,666757.3125,1803.623936,134088.217,32.05445048504206,51.15801585706316,1.3184073143495254
chronoslarge,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.8238414293690676,1417.926656,0.5294079999998758,2062525.375,3256.41984,423757.919,98.79178837276184,67.45085998883292,5.311525963149079
papageis,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.9034059184812954,23.242752,0.26726400000000083,39908.37890625,205.413888,2859.017,15.787333152202306,16.07055322836404,0.5538659966499163
papageip,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.6929089893914014,20.068352,0.26726400000000083,35522.67578125,202.239488,2622.779,14.117218299793306,16.070550798436628,0.5174302065884981
papageissvri,mlp,,,UWaveGestureLibraryAll,NVIDIA A2,gestureclass,accuracy,0.9184812953657174,20.068352,0.26726400000000083,35319.984375,202.239488,2605.908,14.2973669569696,16.070550798436628,0.5001931881630374
chronosbase,mlp,,,ETTh1,NVIDIA A2,etth1fore,mae,0.7172047323731197,420.18304,302.580736,22332.98046875,1948.440576,7019.446,33.21950772031172,52.73438936110074,1.556002603198215
chronossmall,mlp,,,ETTh1,NVIDIA A2,etth1fore,mae,0.8261823396262122,92.30848,201.720832,10426.38671875,1117.970432,2740.901,12.30375296620021,38.32780723837857,0.03637597619933061
