req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
153,15.304251180883579,site2,10.100.20.49:8010,chronosbase,sysbp,1768808172.1308222,1768808172.13297,84.36322212219238,80.100543,0.005047,126.73008728027344,98.0
154,15.40427896637955,site2,10.100.20.49:8010,chronosbase,sysbp,1768808172.2313588,1768808172.2329438,84.54155921936035,79.87844600000001,0.002514,126.73008728027344,98.0
155,15.504306751875522,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.3310702,1768808172.3330393,13.587713241577148,10.135857999999999,0.002845,0.0,0.0
156,15.604334537371491,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.4308803,1768808172.432992,13.894796371459961,10.215559,0.003766,0.0,0.0
157,15.704362322867464,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.5310054,1768808172.533128,14.044761657714844,10.197691,0.004246,0.0,0.0
158,15.804390108363433,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.6312776,1768808172.6334376,14.149904251098633,10.198152,0.003716,0.0,0.0
159,15.904417893859405,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.7316778,1768808172.733805,14.092683792114258,10.183641,0.004667,0.0,0.0
160,16.004445679355378,site2,10.100.20.49:8000,momentbase,ecgclass,1768808172.8309963,1768808172.8331468,13.999462127685547,10.241907999999999,0.004096000000000001,0.0,0.0
161,16.10447346485135,site2,10.100.20.49:8030,momentsmall,diasbp,1768808172.9312184,1768808172.9334426,18.97883415222168,14.910686,0.004587,68.82672119140625,56.0
162,16.20450125034732,site2,10.100.20.49:8000,momentbase,ecgclass,1768808173.0314527,1768808173.0336316,14.229059219360352,10.252224,0.0044870000000000005,0.0,0.0
163,16.304529035843288,site2,10.100.20.49:8000,momentbase,ecgclass,1768808173.1319351,1768808173.134168,14.333724975585938,10.194757000000001,0.004065999999999999,0.0,0.0
164,16.404556821339263,site2,10.100.20.49:8000,momentbase,ecgclass,1768808173.2315123,1768808173.2336655,14.209508895874023,10.421541,0.004137,0.0,0.0
