task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,10.5812,10.6759,94.6901,94.6901,81.865,80.7239,0.0036,0.7322,6.1197,12.8251,1775532000507289497,0
nyudepth,2,1,10.6759,10.7705,94.5308,94.5308,81.8214,80.6866,0.0038,0.7383,6.0506,12.7095,1775532000601922641,0
nyudepth,2,1,10.7705,10.865,94.4936,94.4936,81.7858,80.6567,0.0046,0.7356,6.0322,12.7079,1775532000696447812,0
nyudepth,2,1,10.865,10.9596,94.6088,94.6088,81.8786,80.677,0.004,0.7522,6.1333,12.7302,1775532000791055515,0
nyudepth,2,1,10.9596,11.0542,94.6097,94.6097,81.88,80.6985,0.0038,0.7651,6.2172,12.7298,1775532000885762123,0
nyudepth,2,1,11.0542,11.1494,95.2101,95.2101,82.4014,81.2493,0.0045,0.7559,6.1474,12.8086,1775532000980315776,0
nyudepth,2,1,11.1494,11.2436,94.1215,94.1215,79.9383,78.7343,0.0047,0.7915,7.4501,14.1832,1775532001076844896,0
nyudepth,2,1,11.2436,11.3382,94.5961,94.5961,81.6293,80.4698,0.0038,0.7729,6.2826,12.9668,1775532001169811744,0
nyudepth,2,1,11.3382,11.4328,94.6259,94.6259,81.8486,80.6727,0.0045,0.7375,6.1259,12.7774,1775532001264263811,0
nyudepth,2,1,11.4328,11.5273,94.4471,94.4471,82.5626,81.405,0.0044,0.7494,5.2373,11.8845,1775532001358014051,0
nyudepth,2,1,11.5273,11.622,94.6927,94.6927,82.8891,81.7421,0.0036,0.7591,5.1365,11.8036,1775532001452372830,0
nyudepth,2,1,11.622,11.7164,94.451,94.451,82.6648,81.4914,0.0039,0.7562,5.1913,11.7861,1775532001547132710,0
nyudepth,2,1,11.7165,11.8109,94.4712,94.4712,80.8636,79.7419,0.0047,0.7421,7.0846,13.6076,1775532001643488997,0
nyudepth,2,1,11.8109,11.9058,94.8892,94.8892,81.9039,80.7502,0.0037,0.7406,6.402,12.9852,1775532001737289734,0
nyudepth,2,1,11.9058,12.0004,94.5141,94.5141,77.2178,76.1057,0.0038,0.7327,10.6676,17.2964,1775532001836458632,0
nyudepth,2,1,12.0004,12.0955,95.0894,95.0894,82.2649,80.6556,0.0037,0.7528,6.1791,12.8246,1775532001926496983,0
nyudepth,2,1,12.0955,12.1903,94.8517,94.8517,82.2671,81.1328,0.0041,0.7448,5.2333,12.5846,1775532002020653404,0
nyudepth,2,1,12.1903,12.2841,93.7579,93.7579,82.03,80.8843,0.0038,0.756,5.136,11.7278,1775532002115420358,0
nyudepth,2,1,12.2841,12.3789,94.7425,94.7425,82.5301,81.3791,0.004,0.7307,5.553,12.2124,1775532002209607830,0
nyudepth,2,1,12.3789,12.4734,94.4989,94.4989,81.8703,80.7628,0.0048,0.7145,6.0201,12.6285,1775532002304829934,0
nyudepth,2,1,12.4734,12.568,94.6219,94.6219,83.1698,82.0241,0.004,0.7345,4.7972,11.4521,1775532002398118953,0
nyudepth,2,1,12.568,12.6626,94.6131,94.6131,81.9034,80.7676,0.0198,0.7297,6.0899,12.7097,1775532002494049108,0
nyudepth,2,1,12.6626,12.7572,94.5973,94.5973,82.032,80.9275,0.0044,0.7296,5.8768,12.5653,1775532002588461697,0
nyudepth,2,1,12.7572,12.8518,94.5077,94.5077,82.0727,80.9802,0.0038,0.701,5.7955,12.435,1775532002682990092,0
nyudepth,2,1,12.8518,12.9463,94.5079,94.5079,83.1958,82.1201,0.004,0.7052,4.7455,11.3122,1775532002776460006,0
nyudepth,2,1,12.9463,13.0413,95.0327,95.0327,83.5901,81.9755,0.0043,1.2365,4.9226,11.4426,1775532002871157694,0
nyudepth,2,1,13.0413,13.1353,93.9822,93.9822,81.4672,80.3824,0.0041,0.7183,6.0337,12.515,1775532002967313140,0
nyudepth,2,1,13.1353,13.2301,94.7731,94.7731,80.7468,79.6383,0.0045,0.7244,7.4227,14.0263,1775532003062697706,0
nyudepth,2,1,13.2301,13.3245,94.4133,94.4133,82.1558,81.0673,0.0036,0.7048,5.6899,12.2575,1775532003155751637,0
nyudepth,2,1,13.3245,13.4192,94.6355,94.6355,82.0852,80.9755,0.0042,0.7129,5.986,12.5502,1775532003250473263,0
nyudepth,2,1,13.4192,13.5139,94.6667,94.6667,82.1868,81.0926,0.004,0.713,5.9102,12.4799,1775532003345045213,0
nyudepth,2,1,13.5139,13.6083,94.4707,94.4707,81.6082,80.4965,0.0033,0.7173,6.3176,12.8625,1775532003440132390,0
nyudepth,2,1,13.6084,13.703,94.6145,94.6145,83.1261,82.0243,0.004,0.7352,4.9465,11.4884,1775532003533244122,0
nyudepth,2,1,13.703,13.7976,94.6517,94.6517,82.9673,81.8759,0.0042,0.6901,5.0988,11.6844,1775532003628023501,0
nyudepth,2,1,13.7976,13.8923,94.7051,94.7051,83.4385,82.3287,0.0038,0.7522,4.6749,11.2666,1775532003722263751,0
nyudepth,2,1,13.8924,13.9875,95.1865,95.1865,82.6752,81.0901,0.0042,1.2034,5.7759,12.5113,1775532003818082448,0
nyudepth,2,1,13.9876,14.0815,93.9367,93.9367,82.5605,81.4912,0.0035,0.7068,4.7543,11.3762,1775532003912261192,0
nyudepth,2,1,14.0815,14.1771,95.5844,95.5844,83.0093,81.9169,0.0037,0.7194,5.9247,12.5751,1775532004007380254,0
nyudepth,2,1,14.1771,14.2709,93.7681,93.7681,82.0619,80.9386,0.0037,0.7144,4.9756,11.7062,1775532004102027671,0
nyudepth,2,1,14.2709,14.3658,94.9385,94.9385,83.1157,81.978,0.0042,0.7351,5.213,11.8228,1775532004196046389,0
nyudepth,2,1,14.3658,14.4599,94.1019,94.1019,82.3321,81.2526,0.0041,0.6973,5.1785,11.7698,1775532004290963150,0
nyudepth,2,1,14.46,14.5546,94.6505,94.6505,83.3428,82.2307,0.0038,0.7212,4.724,11.3077,1775532004384622317,0
nyudepth,2,1,14.5546,14.6491,94.4641,94.4641,83.3521,82.2473,0.0037,0.7174,4.5514,11.112,1775532004479112477,0
nyudepth,2,1,14.6491,14.7436,94.5342,94.5342,75.9134,74.7964,0.0049,0.7091,12.1534,18.6207,1775532004581191386,0
nyudepth,2,1,14.7436,14.8383,94.7063,94.7063,82.2106,81.1385,0.0042,0.7147,5.9259,12.4957,1775532004669510645,0
nyudepth,2,1,14.8384,14.9336,95.2096,95.2096,83.4601,81.9053,0.0046,1.1865,5.0793,11.7495,1775532004763382313,0
nyudepth,2,1,14.9336,15.0276,94.0261,94.0261,81.6146,80.4884,0.0036,0.707,5.8568,12.4115,1775532004859383210,0
nyudepth,2,1,15.0276,15.1221,94.5244,94.5244,82.153,81.0403,0.0044,0.7153,5.7533,12.3714,1775532004953317907,0
nyudepth,2,1,15.1222,15.2168,94.6393,94.6393,82.0937,80.9721,0.0035,0.7095,5.9631,12.5456,1775532005048064642,0
