task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,5.8486,66.642,41.795,0
ecgclass__app1,5.8489,66.609,41.858,0
ecgclass__app3,5.8741,65.735,26.323,0
ecgclass,5.9152,66.762,42.863,0
ecgclass__app1,5.9155,66.912,43.338,0
ecgclass__app2,5.9148,67.924,43.802,0
ecgclass__app3,5.9399,68.491,27.851,0
ecgclass__app1,5.9824,68.520,43.439,0
ecgclass,5.9820,69.450,43.776,0
ecgclass__app2,5.9827,68.854,43.810,0
ecgclass__app3,6.0084,68.357,27.200,0
ecgclass__app1,6.0510,67.636,42.505,0
ecgclass__app2,6.0516,67.177,42.642,0
ecgclass,6.0515,67.592,43.190,0
ecgclass__app3,6.0767,66.580,26.467,0
ecgclass__app1,6.1186,66.741,42.703,0
ecgclass,6.1191,66.694,43.038,0
ecgclass__app2,6.1188,67.252,43.237,0
ecgclass__app3,6.1433,68.595,27.817,0
ecgclass__app2,6.1860,69.145,43.792,0
ecgclass__app1,6.1854,69.952,43.846,0
ecgclass,6.1858,70.025,44.392,0
ecgclass__app3,6.2120,68.739,27.523,0
ecgclass__app1,6.2554,66.566,42.014,0
ecgclass,6.2558,66.564,42.297,0
ecgclass__app2,6.2552,67.429,42.513,0
ecgclass__app3,6.2807,66.180,26.448,0
ecgclass,6.3224,67.065,43.121,0
ecgclass__app2,6.3226,66.984,43.208,0
ecgclass__app1,6.3220,67.972,43.730,0
ecgclass__app3,6.3469,68.788,27.725,0
ecgclass__app1,6.3899,68.687,43.369,0
ecgclass,6.3895,69.531,43.532,0
ecgclass__app2,6.3896,69.515,43.562,0
ecgclass__app3,6.4157,67.953,27.060,0
ecgclass__app1,6.4586,64.796,40.432,0
ecgclass,6.4590,64.831,40.777,0
ecgclass__app2,6.4592,64.970,41.241,0
ecgclass__app3,6.4837,64.768,26.276,0
ecgclass__app1,6.5235,67.044,42.720,0
ecgclass,6.5239,66.999,43.253,0
ecgclass__app2,6.5241,66.989,43.510,0
ecgclass__app3,6.5485,69.132,28.427,0
ecgclass,6.5909,69.528,43.413,0
ecgclass__app2,6.5911,69.677,43.947,0
ecgclass__app1,6.5905,70.522,44.196,0
ecgclass__app3,6.6176,68.094,26.673,0
ecgclass,6.6604,66.182,41.462,0
ecgclass__app1,6.6611,65.985,41.903,0
ecgclass__app2,6.6608,66.533,42.356,0
ecgclass__app3,6.6857,65.962,26.485,0
ecgclass__app1,6.7271,66.421,42.479,0
ecgclass,6.7266,67.288,42.719,0
ecgclass__app2,6.7274,66.672,43.142,0
ecgclass__app3,6.7517,68.036,27.649,0
ecgclass__app1,6.7935,68.940,43.382,0
ecgclass,6.7939,68.966,43.697,0
ecgclass__app2,6.7940,68.974,43.865,0
ecgclass__app3,6.8198,68.350,26.950,0
ecgclass__app1,6.8625,67.299,42.286,0
ecgclass__app2,6.8630,67.174,42.914,0
ecgclass,6.8629,67.637,43.285,0
ecgclass__app3,6.8882,67.244,26.798,0
ecgclass,6.9306,66.178,42.100,0
ecgclass__app1,6.9298,67.415,42.373,0
ecgclass__app2,6.9302,67.339,42.939,0
ecgclass__app3,6.9554,67.719,27.748,0
ecgclass,6.9968,69.201,43.531,0
ecgclass__app2,6.9976,68.969,44.028,0
ecgclass__app1,6.9972,69.420,44.115,0
ecgclass__app3,7.0231,69.107,27.975,0
ecgclass__app1,7.0666,66.052,41.113,0
ecgclass__app2,7.0665,66.635,41.700,0
ecgclass,7.0660,67.762,42.440,0
ecgclass__app3,7.0923,65.761,26.703,0
ecgclass__app2,7.1332,66.656,42.257,0
ecgclass,7.1338,66.221,42.339,0
ecgclass__app1,7.1327,67.509,42.428,0
ecgclass__app3,7.1581,67.759,27.683,0
ecgclass__app1,7.2002,68.213,43.248,0
ecgclass,7.2000,68.811,43.595,0
ecgclass__app2,7.1999,69.263,44.094,0
ecgclass__app3,7.2258,68.578,27.359,0
ecgclass,7.2688,66.556,41.491,0
ecgclass__app1,7.2685,67.148,41.526,0
ecgclass__app2,7.2691,66.553,41.629,0
ecgclass__app3,7.2944,65.678,26.541,0
ecgclass__app1,7.3356,66.417,42.401,0
ecgclass__app2,7.3357,66.864,43.118,0
ecgclass,7.3354,67.559,43.534,0
ecgclass__app3,7.3601,68.896,28.065,0
ecgclass,7.4030,68.100,42.754,0
ecgclass__app1,7.4021,69.560,43.444,0
ecgclass__app2,7.4026,69.311,43.619,0
ecgclass__app3,7.4290,67.830,27.038,0
ecgclass__app1,7.4716,67.130,42.378,0
ecgclass__app2,7.4719,66.995,42.465,0
ecgclass,7.4711,68.145,43.091,0
ecgclass__app3,7.4969,66.785,26.530,0
ecgclass__app1,7.5388,66.963,42.752,0
ecgclass__app2,7.5389,67.457,43.361,0
ecgclass,7.5392,67.361,43.451,0
ecgclass__app3,7.5637,68.826,27.885,0
ecgclass__app2,7.6064,68.683,43.246,0
ecgclass__app1,7.6058,69.874,43.947,0
ecgclass,7.6066,69.389,44.168,0
ecgclass__app3,7.6325,68.675,27.500,0
ecgclass__app1,7.6756,67.396,42.544,0
ecgclass,7.6760,67.554,42.806,0
