req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
6719,67.88436076983476,site2,site2,chronostiny,ecgclass,7.732629776000977,4.492521286010742,0.0026226043701171875,0.0,0.0
6720,67.91040596875348,site2,site2,chronostiny,gestureclass,8.605003356933594,4.523277282714844,0.0045299530029296875,4.0,4.0
6721,67.92644303543786,site2,site2,chronostiny,ecgclass,7.774591445922852,4.52423095703125,0.00476837158203125,0.0,0.0
6722,67.96649517157188,site2,site2,chronostiny,gestureclass,8.337020874023438,4.570245742797852,0.00476837158203125,4.0,4.0
6723,67.98292228670005,site2,site2,chronostiny,ecgclass,7.443904876708984,4.39906120300293,0.003814697265625,0.0,0.0
6724,67.98302485276913,site2,site2,chronostiny,gestureclass,6.702184677124023,4.06193733215332,0.00286102294921875,4.0,4.0
6725,67.98641930003431,site2,site2,chronostiny,ecgclass,6.410837173461914,3.9801597595214844,0.0026226043701171875,0.0,0.0
6726,67.98673032904885,site2,site2,chronostiny,ecgclass,6.459712982177734,3.9725303649902344,0.001430511474609375,0.0,0.0
6727,67.98771868055718,site2,site2,chronostiny,ecgclass,6.431102752685547,3.994464874267578,0.001430511474609375,0.0,0.0
6728,67.99018844386103,site2,site2,chronostiny,gestureclass,6.372928619384766,3.965616226196289,0.00286102294921875,4.0,4.0
6729,67.9971913410663,site2,site2,chronostiny,gestureclass,6.464481353759766,3.9949417114257812,0.0019073486328125,4.0,4.0
6730,68.01599934670355,site2,site2,chronostiny,ecgclass,6.25300407409668,3.9315223693847656,0.0030994415283203125,0.0,0.0
6731,68.03580195395779,site2,site2,chronostiny,ecgclass,6.313085556030273,3.953695297241211,0.001430511474609375,0.0,0.0
6732,68.04537833933713,site2,site2,chronostiny,gestureclass,6.433010101318359,3.978729248046875,0.0026226043701171875,4.0,4.0
6733,68.0717136968228,site2,site2,chronostiny,ecgclass,8.04448127746582,4.607200622558594,0.0045299530029296875,0.0,0.0
6734,68.0786464152379,site2,site2,chronostiny,ecgclass,6.975412368774414,4.103183746337891,0.0019073486328125,0.0,0.0
6735,68.10063191376113,site2,site2,chronostiny,gestureclass,7.93147087097168,4.47845458984375,0.00476837158203125,4.0,4.0
6736,68.10668447203585,site2,site2,chronostiny,gestureclass,6.617307662963867,4.001855850219727,0.0021457672119140625,4.0,4.0
6737,68.1099310452243,site2,site2,chronostiny,ecgclass,6.388187408447266,3.9751529693603516,0.00286102294921875,0.0,0.0
6738,68.13474970815994,site2,site2,chronostiny,ecgclass,7.369279861450195,4.331350326538086,0.002384185791015625,0.0,0.0
6739,68.13965887732599,site2,site2,chronostiny,gestureclass,6.681680679321289,4.039525985717773,0.003337860107421875,4.0,4.0
6740,68.14665866412493,site2,site2,chronostiny,ecgclass,6.642818450927734,4.064321517944336,0.0030994415283203125,0.0,0.0
6741,68.15064644874924,site2,site2,chronostiny,ecgclass,6.679296493530273,4.035472869873047,0.0016689300537109375,0.0,0.0
6742,68.16151835441383,site2,site2,chronostiny,gestureclass,6.495475769042969,4.023075103759766,0.0035762786865234375,4.0,4.0
6743,68.21456417390725,site2,site2,chronostiny,gestureclass,8.239507675170898,4.557132720947266,0.0026226043701171875,4.0,4.0
6744,68.21482262054258,site2,site2,chronostiny,ecgclass,6.791591644287109,4.050731658935547,0.002384185791015625,0.0,0.0
6745,68.23783328361263,site2,site2,chronostiny,gestureclass,6.945610046386719,4.229307174682617,0.00286102294921875,4.0,4.0
6746,68.23787262145446,site2,site2,chronostiny,gestureclass,6.623744964599609,4.061698913574219,0.001430511474609375,4.0,4.0
6747,68.24240177228982,site2,site2,chronostiny,ecgclass,6.584644317626953,4.113197326660156,0.00286102294921875,0.0,0.0
6748,68.2442482966772,site2,site2,chronostiny,gestureclass,6.385087966918945,3.971576690673828,0.00286102294921875,4.0,4.0
6749,68.25840930998243,site2,site2,chronostiny,ecgclass,6.486654281616211,4.016876220703125,0.00286102294921875,0.0,0.0
6750,68.25892867489708,site2,site2,chronostiny,ecgclass,6.761789321899414,4.173755645751953,0.0016689300537109375,0.0,0.0
6751,68.26699149670362,site2,site2,chronostiny,gestureclass,6.4296722412109375,4.003763198852539,0.0030994415283203125,4.0,4.0
6752,68.27048602377333,site2,site2,chronostiny,ecgclass,6.412029266357422,3.9391517639160156,0.00286102294921875,0.0,0.0
6753,68.27192092045246,site2,site2,chronostiny,ecgclass,6.348133087158203,3.9396286010742188,0.0016689300537109375,0.0,0.0
6754,68.28669704697622,site2,site2,chronostiny,ecgclass,6.397724151611328,4.00233268737793,0.0016689300537109375,0.0,0.0
6755,68.28914859777736,site2,site2,chronostiny,ecgclass,6.405353546142578,3.956317901611328,0.0016689300537109375,0.0,0.0
6756,68.29168044082932,site2,site2,chronostiny,gestureclass,6.392240524291992,3.9696693420410156,0.0026226043701171875,4.0,4.0
6757,68.29489733623204,site2,site2,chronostiny,gestureclass,6.291627883911133,3.9272308349609375,0.0016689300537109375,4.0,4.0
6758,68.30373476732134,site2,site2,chronostiny,gestureclass,6.3076019287109375,3.9336681365966797,0.0011920928955078125,4.0,4.0
6759,68.31451304322046,site2,site2,chronostiny,ecgclass,6.247997283935547,3.94439697265625,0.0030994415283203125,0.0,0.0
6760,68.31469063612552,site2,site2,chronostiny,ecgclass,6.205558776855469,3.8955211639404297,0.0016689300537109375,0.0,0.0
6761,68.3174596353666,site2,site2,chronostiny,ecgclass,6.184816360473633,3.893136978149414,0.0011920928955078125,0.0,0.0
6762,68.32309787139428,site2,site2,chronostiny,ecgclass,6.137847900390625,3.8797855377197266,0.001430511474609375,0.0,0.0
