req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
3035,190.22571534430023,site2,192.168.245.193:8000,momentbase,heartrate,1776731335.3666208,1776731335.366626,1776731335.3678408,1776731335.4113078,1776731335.4234266,0.005245208740234375,0.1474618911743164,43.467044830322266,13.186097145080566,56.80584907531738,41.388206,0.003129,1.06308
3036,190.25094466256928,site2,192.168.245.195:8000,papageissvri,diasbp,1776731335.3914843,1776731335.3914893,1776731335.3933086,1776731335.4248164,1776731335.426069,0.0050067901611328125,0.04220008850097656,31.50773048400879,3.0298233032226562,34.584760665893555,29.706005,0.0037270000000000003,0.974077
3038,190.28957104267457,site2,192.168.245.195:8000,papageissvri,diasbp,1776731335.4299808,1776731335.4299858,1776731335.4318192,1776731335.460363,1776731335.4613903,0.0050067901611328125,0.05626678466796875,28.543710708618164,2.8045177459716797,31.409502029418945,26.887314999999997,0.0031650000000000003,0.884888
3037,190.28476392350848,site2,192.168.245.191:8010,dinosmall,vocseg,1776731335.4261072,1776731335.4261117,1776731335.4345515,1776731335.4625835,1776731335.4797835,0.0045299530029296875,-0.18405914306640625,28.03206443786621,25.82383155822754,53.67636680603027,25.73899,0.0038399999999999997,1.462166
3039,190.41775203439641,site2,192.168.245.193:8010,momentbase,sysbp,1776731335.5588186,1776731335.5588238,1776731335.559789,1776731335.60318,1776731335.6050298,0.005245208740234375,0.08845329284667969,43.39098930358887,2.7265548706054688,46.21124267578125,41.701156000000005,0.0023810000000000003,0.9413680000000001
3040,190.49776107739004,site2,192.168.245.195:8000,papageissvri,diasbp,1776731335.6385727,1776731335.638578,1776731335.64033,1776731335.668834,1776731335.6698225,0.005245208740234375,-0.025033950805664062,28.503894805908203,2.765655517578125,31.2497615814209,26.860673000000002,0.003376,0.8989090000000001
3041,190.65162095993725,site2,192.168.245.193:8000,momentbase,heartrate,1776731335.79243,1776731335.792435,1776731335.7934961,1776731335.8392181,1776731335.8411222,0.0050067901611328125,-0.006079673767089844,45.722007751464844,2.9712915420532227,48.69222640991211,43.785464000000005,0.003391,1.033769
3042,190.6850209087088,site2,192.168.245.191:8010,dinosmall,vocseg,1776731335.8263283,1776731335.8263338,1776731335.8347704,1776731335.8627717,1776731335.8801105,0.0054836273193359375,-0.18715858459472656,28.00130844116211,25.96259117126465,53.78222465515137,25.709945,0.0038369999999999997,1.460516
3043,190.76109063110323,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731335.902058,1776731335.9020631,1776731335.9036186,1776731335.9359703,1776731335.9372447,0.005245208740234375,-0.1811981201171875,32.35173225402832,3.010988235473633,35.186767578125,30.583214,0.0069630000000000004,0.884127
3044,190.99759252366948,site2,192.168.245.193:8000,momentbase,heartrate,1776731336.1389802,1776731336.138985,1776731336.1399803,1776731336.1823902,1776731336.1842318,0.00476837158203125,-0.0718832015991211,42.40989685058594,2.9088258743286133,45.25160789489746,40.393930000000005,0.00323,1.085542
3045,191.0518265754324,site2,192.168.245.193:8010,momentbase,sysbp,1776731336.1927822,1776731336.192787,1776731336.1936407,1776731336.2377203,1776731336.2395601,0.00476837158203125,-0.02288818359375,44.07954216003418,2.716541290283203,46.777963638305664,42.399481,0.002574,0.970859
3046,191.05390867005272,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731336.194656,1776731336.1946611,1776731336.2030728,1776731336.2663527,1776731336.2673771,0.005245208740234375,0.18334388732910156,63.27986717224121,9.252786636352539,72.72124290466309,61.843613,0.001652,0.9101400000000001
3048,191.09390438466608,site2,192.168.245.193:8010,momentbase,sysbp,1776731336.2351503,1776731336.2351553,1776731336.23849,1776731336.2781196,1776731336.2799182,0.0050067901611328125,2.4580955505371094,39.629459381103516,2.675294876098633,44.76785659790039,38.329302000000006,0.0020090000000000004,0.733024
3047,191.07399179126278,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731336.2157614,1776731336.2157662,1776731336.224147,1776731336.2852938,1776731336.2862906,0.00476837158203125,0.286102294921875,61.14673614501953,9.091615676879883,70.52922248840332,60.208892999999996,0.002061,0.45616199999999996
3049,191.1789172087429,site2,192.168.245.191:8010,dinosmall,vocseg,1776731336.3198326,1776731336.3198373,1776731336.3281934,1776731336.363563,1776731336.3808472,0.00476837158203125,-0.2677440643310547,35.3696346282959,25.90799331665039,61.014652252197266,32.138357,0.006227,2.013371
3050,191.19452597189135,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731336.335774,1776731336.3357792,1776731336.3450837,1776731336.3795228,1776731336.3968644,0.005245208740234375,0.6192922592163086,34.4390869140625,26.02684497833252,61.09046936035156,32.480894000000006,0.002746,1.055689
3052,191.2311859586762,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731336.3857515,1776731336.3857567,1776731336.3876367,1776731336.417356,1776731336.418468,0.005245208740234375,0.14328956604003906,29.71935272216797,2.8486251831054688,32.71651268005371,28.260301000000002,0.003004,0.642783
3051,191.21019265930477,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731336.351741,1776731336.3517466,1776731336.3614464,1776731336.4233692,1776731336.4243553,0.0054836273193359375,1.6050338745117188,61.92278861999512,9.080886840820312,72.61419296264648,61.058738,0.0020729999999999998,0.463838
3053,191.25169543722905,site2,192.168.245.193:8000,momentbase,heartrate,1776731336.4026453,1776731336.4026506,1776731336.4036095,1776731336.4484568,1776731336.4503462,0.005245208740234375,-0.10836124420166016,44.84724998474121,2.9567480087280273,47.70088195800781,42.930661,0.003332,1.0292400000000002
3054,191.31945988149081,site2,192.168.245.193:8010,momentbase,sysbp,1776731336.4608738,1776731336.4608788,1776731336.4618242,1776731336.5107768,1776731336.51267,0.0050067901611328125,0.06866455078125,48.952579498291016,2.769947052001953,51.79619789123535,47.239427,0.0025220000000000004,1.0161129999999998
3055,191.32307818754595,site2,192.168.245.193:8010,momentbase,sysbp,1776731336.4637702,1776731336.463775,1776731336.511585,1776731336.5533595,1776731336.5551777,0.00476837158203125,46.93341255187988,41.77451133728027,2.694845199584961,91.40753746032715,40.43644,0.0019089999999999999,0.7899079999999999
3056,191.37974707470295,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731336.5201998,1776731336.5202048,1776731336.5279198,1776731336.6392007,1776731336.6402297,0.0050067901611328125,-0.37980079650878906,111.28091812133789,9.123802185058594,120.02992630004883,109.62439,0.003899,0.863405
3057,191.5684864008158,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731336.7097843,1776731336.7097895,1776731336.7114997,1776731336.740875,1776731336.7418935,0.005245208740234375,-0.026464462280273438,29.375314712524414,2.7551651000976562,32.10926055908203,27.956334,0.002784,0.6404270000000001
3058,191.63067790834734,site2,192.168.245.191:8010,dinosmall,vocseg,1776731336.771474,1776731336.7714791,1776731336.7798467,1776731336.8078516,1776731336.825265,0.005245208740234375,-0.2562999725341797,28.004884719848633,26.037216186523438,53.791046142578125,25.672382,0.0038299999999999996,1.47748
3059,191.69620789203162,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731336.8372686,1776731336.8372736,1776731336.8389528,1776731336.8635526,1776731336.8646162,0.0050067901611328125,-0.05745887756347656,24.599790573120117,2.8002262115478516,27.347564697265625,23.680274,0.00188,0.410814
3060,191.8444508023874,site2,192.168.245.193:8000,momentbase,heartrate,1776731336.985291,1776731336.985296,1776731336.9863472,1776731337.0296028,1776731337.0318,0.0050067901611328125,-0.01609325408935547,43.25556755065918,3.2645463943481445,46.5090274810791,41.233644,0.003188,1.10288
3061,191.89042016677755,site2,192.168.245.193:8010,momentbase,sysbp,1776731337.0311496,1776731337.0311544,1776731337.0321121,1776731337.0686698,1776731337.0705097,0.00476837158203125,0.08106231689453125,36.557674407958984,2.716541290283203,39.36004638671875,35.240791,0.0020150000000000003,0.738492
